"COUNTRY","YEAR","SCENARIO","ISCO08_3D","ISCO88_3D","THS_POP","FLAG_RELIAB","OBS_STATUS"
"EU27_2020",2022,"S_AA",911,"Not stated",6380569,,
"EU27_2020",2022,"S_AA",133,"Not stated","356,61",,
"EU27_2020",2022,"S_AA",323,"Not stated",57772,,
"EU27_2020",2022,"S_AA",351,"Not stated",1658484,,
"EU27_2020",2022,"S_AA",920,"Not stated",,"x",
"EU27_2020",2022,"S_AA",524,"Not stated",1192849,,
"EU27_2020",2022,"S_AA",931,"Not stated",1181688,,
"EU27_2020",2022,"S_AA",962,"Not stated",1366204,,
"EU27_2020",2022,"S_AA",932,"Not stated",1825593,,
"EU27_2020",2022,"S_AA",610,"Not stated",,"x",
"EU27_2020",2022,"S_AA",810,"Not stated",130948,,
"EU27_2020",2022,"S_AA",350,"Not stated",,"x",
"EU27_2020",2022,"S_AA",261,"Not stated",1666587,,
"EU27_2020",2022,"S_AA",921,"Not stated",1534081,,
"EU27_2020",2022,"S_AA",110,"Not stated",,"x",
"EU27_2020",2022,"S_AA",710,"Not stated",,"x",
"EU27_2020",2022,"S_AA",310,"Not stated",26559,,
"EU27_2020",2022,"S_AA",210,"Not stated",75297,,
"EU27_2020",2022,"S_AA",613,"Not stated",1959796,,
"EU27_2020",2022,"S_AA",711,"Not stated",4231413,,
"EU27_2020",2022,"S_AA",240,"Not stated",,"x",
"EU27_2020",2022,"S_AA",531,"Not stated",2058806,,
"EU27_2020",2022,"S_AA",120,"Not stated",,"x",
"EU27_2020",2022,"S_AA",952,"Not stated",97861,,
"EU27_2020",2022,"S_AA",243,"Not stated",2702581,,
"EU27_2020",2022,"S_AA",264,"Not stated","888,3",,
"EU27_2020",2022,"S_AA",622,"Not stated",108661,,
"EU27_2020",2022,"S_AA",130,"Not stated",,"x",
"EU27_2020",2022,"S_AA",263,"Not stated",2463792,,
"EU27_2020",2022,"S_AA",821,"Not stated",1833031,,
"EU27_2020",2022,"S_AA",222,"Not stated",1738655,,
"EU27_2020",2022,"S_AA",11,"Not stated",224264,,
"EU27_2020",2022,"S_AA",140,"Not stated",,"x",
"EU27_2020",2022,"S_AA",752,"Not stated",896582,,
"EU27_2020",2022,"S_AA",122,"Not stated",1145944,,
"EU27_2020",2022,"S_AA",230,"Not stated",,"x",
"EU27_2020",2022,"S_AA",121,"Not stated",1565623,,
"EU27_2020",2022,"S_AA",234,"Not stated",4223412,,
"EU27_2020",2022,"S_AA",340,"Not stated",,"x",
"EU27_2020",2022,"S_AA",816,"Not stated",606693,,
"EU27_2020",2022,"S_AA",213,"Not stated","649,71",,
"EU27_2020",2022,"S_AA",820,"Not stated",,"x",
"EU27_2020",2022,"S_AA",817,"Not stated",278892,,
"EU27_2020",2022,"S_AA",514,"Not stated","1834,21",,
"EU27_2020",2022,"S_AA",300,"Not stated",,"x",
"EU27_2020",2022,"S_AA",832,"Not stated",2194426,,
"EU27_2020",2022,"S_AA",111,"Not stated",357783,,
"EU27_2020",2022,"S_AA",430,"Not stated",,"x",
"EU27_2020",2022,"S_AA",221,"Not stated",1912433,,
"EU27_2020",2022,"S_AA",513,"Not stated",2499724,,
"EU27_2020",2022,"S_AA",440,"Not stated",,"x",
"EU27_2020",2022,"S_AA",812,"Not stated",556473,,
"EU27_2020",2022,"S_AA",142,"Not stated",934777,,
"EU27_2020",2022,"S_AA",633,"Not stated",12887,"u",
"EU27_2020",2022,"S_AA",216,"Not stated",1892199,,
"EU27_2020",2022,"S_AA",730,"Not stated",,"x",
"EU27_2020",2022,"S_AA",611,"Not stated",2794916,,
"EU27_2020",2022,"S_AA",262,"Not stated",283928,,
"EU27_2020",2022,"S_AA",324,"Not stated","57,93",,
