"ISCO88","Description"
111,"Legislators and senior government officials"
114,"Senior officials of special-interest organisations"
121,"Directors and chief executives"
122,"Production and operations managers"
123,"Other specialist managers"
131,"Managers of small enterprises"
211,"Physicists, chemists and related professionals"
212,"Mathematicians, statisticians and related professionals"
213,"Computing professionals"
214,"Architects, engineers and related professionals"
221,"Life science professionals"
222,"Health professionals (except nursing)"
223,"Nursing and midwifery professionals"
231,"College, university and higher education teaching professionals"
232,"Secondary education teaching professionals"
233,"Primary and pre-primary education teaching professionals"
234,"Special education teaching professionals"
235,"Other teaching professionals"
241,"Business professionals"
242,"Legal professionals"
243,"Archivists, librarians and related information professionals"
244,"Social science and related professionals"
245,"Writers and creative or performing artists"
246,"Religious professionals"
247,"Public service administrative professionals"
311,"Physical and engineering science technicians"
312,"Computer associate professionals"
313,"Optical and electronic equipment operators"
314,"Ship and aircraft controllers and technicians"
315,"Safety and quality inspectors"
321,"Life science technicians and related associate professional"
322,"Health associate professionals (except nursing)"
323,"Nursing and midwifery associate professionals"
331,"Primary education teaching associate professionals"
332,"Pre-primary education teaching associate professionals"
333,"Special education teaching associate professionals"
334,"Other teaching associate professionals"
341,"Finance and sales associate professionals"
342,"Business services agents and trade brokers"
343,"Administrative associate professionals"
344,"Customs, tax and related government associate professionals"
345,"Police inspectors and detectives"
346,"Social work associate professionals"
347,"Artistic, entertainment and sports associate professionals"
348,"Religious associate professionals"
411,"Secretaries and keyboard-operating clerks"
412,"Numerical clerks"
413,"Material-recording and transport clerks"
414,"Library, mail and related clerks"
419,"Other office clerks"
421,"Cashiers, tellers and related clerks"
422,"Client information clerks"
511,"Travel attendants and related workers"
512,"Housekeeping and restaurant services workers"
513,"Personal care and related workers"
514,"Other personal services workers"
516,"Protective services workers"
521,"Fashion and other models"
522,"Shop, stall and market salespersons and demonstrators"
611,"Market gardeners and crop growers"
612,"Animal producers and related workers"
613,"Crop and animal producers"
614,"Forestry and related workers"
615,"Fishery workers, hunters and trappers"
711,"Miners, shotfirers, stone cutters and carvers"
712,"Building frame and related trades workers"
713,"Building finishers and related trades workers"
714,"Painters, building structure cleaners and related trades workers"
721,"Metal moulders, welders, sheet-metal workers, structural-metal preparers, and related trades workers"
722,"Blacksmiths, tool-makers and related trades workers"
723,"Machinery mechanics and fitters"
724,"Electrical and electronic equipment mechanics and fitters"
731,"Precision workers in metal and related materials"
732,"Potters, glass-makers and related trades workers"
733,"Handicraft workers in wood, textile, leather and related materials"
734,"Craft printing and related trades workers"
741,"Food processing and related trades workers"
742,"Wood treaters, cabinet-makers and related trades workers"
743,"Textile, garment and related trades workers"
744,"Pelt, leather and shoemaking trades workers"
811,"Mining and mineral-processing-plant operators"
812,"Metal-processing plant operators"
813,"Glass, ceramics and related plant operators"
814,"Wood-processing- and papermaking-plant operators"
815,"Chemical-processing-plant operators"
816,"Power-production and related plant operators"
817,"Industrial robot operators"
821,"Metal- and mineral-products machine operators"
822,"Chemical-products machine operators"
823,"Rubber- and plastic-products machine operators"
824,"Wood-products machine operators"
825,"Printing-, binding- and paper-products machine operators"
826,"Textile-, fur- and leather-products machine operators"
827,"Food and related products machine operators"
828,"Assemblers"
829,"Other machine operators not elsewhere classified"
831,"Locomotive engine drivers and related workers"
832,"Motor vehicle drivers"
833,"Agricultural and other mobile plant operators"
834,"Ships' deck crews and related workers"
911,"Street vendors and related workers"
912,"Shoe cleaning and other street services elementary occupations"
913,"Domestic and related helpers, cleaners and launderers"
914,"Building caretakers, window and related cleaners"
915,"Messengers, porters, doorkeepers and related workers"
916,"Garbage collectors and related labourers"
921,"Agricultural, fishery and related labourers"
931,"Mining and construction labourers"
932,"Manufacturing labourers"
933,"Transport labourers and freight handlers"
10,"Armed forces"
